N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
142,KODEX 200TR,"10,600",285,-2.62%,0,"18,380","173,400",0.00,"250,753",N/A,N/A,
143,현대엘리베이,"46,700",700,+1.52%,"5,000","18,256","39,092",24.59,"235,818",6.29,6.89,
144,OCI홀딩스,"88,400","2,500",-2.75%,"5,000","17,514","19,813",20.96,"58,836",1.66,25.21,
145,동서,"17,320",160,-0.92%,500,"17,268","99,700",3.59,"45,557",9.56,11.33,
146,CJ대한통운,"75,100","1,000",-1.31%,"5,000","17,132","22,812",14.56,"41,724",8.95,5.09,
147,KODEX 23-12 은행채(AA+이상)액티브,"10,450",10,+0.10%,0,"17,123","163,860",0.00,"177,354",N/A,N/A,
148,KODEX 200선물인버스2X,"3,060",155,+5.34%,0,"17,072","557,900",0.92,"148,193,135",N/A,N/A,
149,롯데에너지머티리얼즈,"36,650","2,350",-6.03%,500,"16,900","46,111",7.88,"346,845",-86.64,3.58,
150,신세계,"171,200","4,600",-2.62%,"5,000","16,855","9,845",13.85,"43,009",4.24,10.34,
151,한솔케미칼,"148,200","6,400",-4.14%,"5,000","16,799","11,335",35.53,"60,781",13.39,21.36,
152,HL만도,"35,700",400,-1.11%,"1,000","16,764","46,957",25.06,"235,356",13.99,4.78,
153,한화,"22,300",600,-2.62%,"5,000","16,716","74,959",13.33,"207,956",2.11,24.47,
154,삼아알미늄,"113,500","1,500",-1.30%,500,"16,698","14,712",39.32,"185,889",122.57,13.24,
155,효성중공업,"178,900",900,-0.50%,"5,000","16,682","9,325",10.09,"68,728",26.98,1.07,
156,대우건설,"3,945",80,-1.99%,"5,000","16,396","415,623",11.77,"905,204",2.84,14.55,
157,현대위아,"60,200","1,100",-1.79%,"5,000","16,371","27,195",13.39,"92,319",-11.36,1.99,
158,효성첨단소재,"346,500","8,500",-2.39%,"5,000","15,523","4,480",6.13,"17,775",22.56,19.11,
159,코스맥스,"136,400","3,000",-2.15%,500,"15,481","11,350",28.83,"108,848",49.58,3.65,
160,한올바이오파마,"29,300","1,150",-3.78%,500,"15,306","52,241",9.83,"890,226",236.29,0.15,
161,TIGER 미국테크TOP10 INDXX,"13,370",480,-3.47%,0,"15,275","114,250",0.13,"879,862",N/A,N/A,
